HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care
"Reno, NV","1,886",406,660,"1,273",128,267,"605,953","127,753","121,191","25,454","5,528"
"Richmond, VA","4,478",465,"1,488","2,983",144,305,"1,409,076","264,187","281,815","58,564","12,558"
"Ridgewood, NJ",814,83,275,544,35,59,"338,732","65,551","67,746","14,117","3,037"
"Roanoke, VA","2,189",272,593,"1,391",113,192,"569,741","127,897","113,948","24,080","5,268"
"Rochester, MN","1,835",240,594,"1,215",90,165,"320,367","71,522","64,073","13,533","2,959"
"Rochester, NY","3,766",289,827,"2,297",87,188,"1,036,499","211,611","207,300","43,408","9,393"
"Rockford, IL","1,320",199,613,966,96,147,"552,131","118,035","110,426","23,224","5,052"
"Rome, GA",733,74,229,481,16,45,"221,920","45,706","44,384","9,301","2,015"
"Royal Oak, MI","2,781",324,858,"1,819",97,211,"556,198","117,512","111,240","23,368","5,076"
"Sacramento, CA","4,381",616,"1,315","2,848",224,420,"2,076,640","403,030","415,328","86,570","18,631"
"Saginaw, MI","2,396",208,962,"1,679",63,136,"489,824","124,235","97,965","20,974","4,658"
"Salem, OR",487,64,154,321,10,37,"255,161","50,897","51,032","10,663","2,302"
"Salinas, CA",740,70,290,515,37,54,"303,247","51,843","60,649","12,508","2,657"
"Salisbury, MD",598,59,187,392,26,43,"371,513","100,254","74,303","16,022","3,587"
"Salt Lake City, UT","3,999",526,"1,804","2,902",277,402,"1,552,687","249,737","310,537","63,747","13,464"
"San Angelo, TX",584,35,323,454,17,26,"126,084","26,085","25,217","5,287","1,146"
"San Antonio, TX","6,234",747,"2,477","4,356",216,482,"2,191,766","376,149","438,353","90,434","19,219"
"San Bernardino, CA","5,691",690,"2,125","3,908",231,460,"2,406,889","366,977","481,378","98,434","20,690"
"San Diego, CA","6,178",802,"1,949","4,064",358,580,"3,005,567","497,077","601,113","123,656","26,186"
"San Francisco, CA","3,776",439,"1,139","2,458",203,321,"1,272,753","236,390","254,551","52,856","11,323"
"San Jose, CA","2,547",341,916,"1,731",146,244,"1,456,607","234,573","291,321","59,808","12,634"
"San Luis Obispo, CA",390,54,202,296,33,44,"213,703","46,965","42,741","9,013","1,967"
"San Mateo County, CA","1,555",198,452,"1,003",88,143,"666,874","128,195","133,375","27,777","5,972"
"Santa Barbara, CA",858,82,246,552,35,59,"359,828","67,153","71,966","14,949","3,204"
"Santa Cruz, CA",359,22,169,264,6,14,"229,413","39,590","45,883","9,470","2,014"
"Santa Rosa, CA","1,272",93,306,789,45,69,"402,885","88,435","80,577","16,990","3,707"
"Sarasota, FL","1,309",159,604,957,77,118,"374,960","156,791","74,992","17,228","4,122"
"Savannah, GA","2,050",163,650,"1,350",55,109,"701,923","139,656","140,385","29,327","6,328"
"Sayre, PA",591,62,215,403,28,45,"153,089","36,987","30,618","6,520","1,439"
"Scranton, PA",782,65,324,553,31,48,"253,817","63,450","50,763","10,851","2,405"
"Seattle, WA","4,700",651,"1,366","3,033",209,430,"2,421,217","421,176","484,243","100,009","21,282"
"Shreveport, LA","2,468",283,"1,080","1,774",111,197,"531,003","109,269","106,201","22,254","4,820"
"Sioux City, IA",909,59,362,635,23,41,"195,685","41,561","39,137","8,226","1,788"
"Sioux Falls, SD","4,065",103,"1,653","2,859",52,77,"603,563","129,561","120,713","25,397","5,527"
"Slidell, LA",536,137,338,437,70,103,"149,492","32,656","29,898","6,301","1,374"
"South Bend, IN","1,273",148,551,912,70,109,"539,539","108,077","107,908","22,556","4,871"
"Spartanburg, SC",809,125,280,545,65,95,"300,991","64,361","60,198","12,660","2,754"
"Spokane, WA","3,652",355,"1,657","2,655",134,245,"1,210,559","251,604","242,112","50,782","11,011"
"Springdale, AR","1,144",135,616,880,73,104,"437,572","77,638","87,514","18,103","3,860"
"Springfield, IL","2,426",213,"1,172","1,799",79,146,"637,463","146,057","127,493","26,999","5,921"
"Springfield, MA","1,588",195,500,"1,044",73,134,"600,306","123,079","120,061","25,150","5,445"
"Springfield, MO","2,078",226,819,"1,449",67,147,"688,462","166,812","137,692","29,331","6,476"
"St. Cloud, MN",898,45,227,563,16,31,"203,089","38,678","40,618","8,452","1,815"
"St. Joseph, MI",393,20,238,316,9,14,"110,235","26,066","22,047","4,684","1,031"
"St. Louis, MO","10,187","1,180","4,326","7,257",547,864,"2,666,497","532,142","533,299","111,438","24,055"
"St. Paul, MN","1,604",183,582,"1,093",48,116,"856,536","148,362","171,307","35,367","7,523"
"St. Petersburg, FL","1,424",139,613,"1,018",33,86,"354,891","90,670","70,978","15,209","3,381"
"Stockton, CA",918,121,329,623,41,81,"464,979","77,159","92,996","19,135","4,054"
"Sun City, AZ",845,119,364,604,81,100,"237,503","104,547","47,501","11,012","2,658"
"Syracuse, NY","3,062",243,950,"2,006",77,160,"832,908","165,881","166,582","34,802","7,511"
"Tacoma, WA","1,388",197,366,877,62,129,"642,251","109,410","128,450","26,484","5,624"
"Takoma Park, MD","1,181",150,294,738,48,99,"789,639","122,832","157,928","32,340","6,810"
"Tallahassee, FL","2,242",193,603,"1,423",50,122,"668,985","118,753","133,797","27,678","5,902"
"Tampa, FL","4,005",515,"1,289","2,647",165,340,"1,170,264","218,181","234,053","48,616","10,418"
"Temple, TX",985,162,390,688,50,106,"409,683","59,971","81,937","16,707","3,499"
"Terre Haute, IN",468,64,207,337,37,50,"140,148","28,559","28,030","5,868","1,270"
"Texarkana, AR",656,90,383,519,62,76,"198,305","43,677","39,661","8,365","1,826"
"Toledo, OH","2,679",456,"1,122","1,900",179,317,"767,671","155,817","153,534","32,132","6,949"
"Topeka, KS","1,304",112,594,949,49,80,"352,693","68,579","70,539","14,705","3,165"
"Traverse City, MI",756,26,293,525,7,17,"189,619","52,436","37,924","8,202","1,842"
"Tucson, AZ","2,677",335,"1,184","1,930",161,248,"971,119","232,066","194,224","41,312","9,106"
